seqid,source,type,start,end,score,strand,phase,attributes
NC_059184.1,Gnomon,CDS,7007721,7009097,.,+,0,"ID=cds-XP_032780519.1;Parent=rna-XM_032924628.2;Dbxref=GeneID:116918842,Genbank:XP_032780519.1;Name=XP_032780519.1;gbkey=CDS;gene=LOC116918842;product=ubiquitin-like modifier-activating enzyme 1;protein_id=XP_032780519.1"
NC_059184.1,RefSeq,region,1,13906530,.,+,.,ID=NC_059184.1:1..13906530;Dbxref=taxon:35525;Name=LG3;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG3;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059184.1,Gnomon,gene,9713173,9720193,.,+,.,ID=gene-LOC116935383;Dbxref=GeneID:116935383;Name=LOC116935383;gbkey=Gene;gene=LOC116935383;gene_biotype=protein_coding
NC_059184.1,Gnomon,mRNA,9713173,9720193,.,+,.,"ID=rna-XM_045170451.1;Parent=gene-LOC116935383;Dbxref=GeneID:116935383,Genbank:XM_045170451.1;Name=XM_045170451.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116935383;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 58 samples with support for all annotated introns;product=nuclear exosome regulator NRDE2%2C transcript variant X2;transcript_id=XM_045170451.1"
NC_059184.1,Gnomon,exon,9716708,9717471,.,+,.,"ID=exon-XM_045170451.1-3;Parent=rna-XM_045170451.1;Dbxref=GeneID:116935383,Genbank:XM_045170451.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116935383;product=nuclear exosome regulator NRDE2%2C transcript variant X2;transcript_id=XM_045170451.1"
NC_059184.1,Gnomon,CDS,9716708,9717471,.,+,1,"ID=cds-XP_045026386.1;Parent=rna-XM_045170451.1;Dbxref=GeneID:116935383,Genbank:XP_045026386.1;Name=XP_045026386.1;gbkey=CDS;gene=LOC116935383;product=nuclear exosome regulator NRDE2;protein_id=XP_045026386.1"
NC_059184.1,Gnomon,mRNA,9716252,9720193,.,+,.,"ID=rna-XM_045170450.1;Parent=gene-LOC116935383;Dbxref=GeneID:116935383,Genbank:XM_045170450.1;Name=XM_045170450.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116935383;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=nuclear exosome regulator NRDE2%2C transcript variant X1;transcript_id=XM_045170450.1"
NC_059184.1,Gnomon,exon,9716708,9717471,.,+,.,"ID=exon-XM_045170450.1-2;Parent=rna-XM_045170450.1;Dbxref=GeneID:116935383,Genbank:XM_045170450.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116935383;product=nuclear exosome regulator NRDE2%2C transcript variant X1;transcript_id=XM_045170450.1"
NC_059184.1,Gnomon,CDS,9716708,9717471,.,+,1,"ID=cds-XP_045026385.1;Parent=rna-XM_045170450.1;Dbxref=GeneID:116935383,Genbank:XP_045026385.1;Name=XP_045026385.1;gbkey=CDS;gene=LOC116935383;product=nuclear exosome regulator NRDE2;protein_id=XP_045026385.1"
NC_059184.1,RefSeq,region,1,13906530,.,+,.,ID=NC_059184.1:1..13906530;Dbxref=taxon:35525;Name=LG3;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG3;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059184.1,Gnomon,gene,13436944,13438405,.,-,.,ID=gene-LOC116918443;Dbxref=GeneID:116918443;Name=LOC116918443;gbkey=Gene;gene=LOC116918443;gene_biotype=protein_coding
NC_059184.1,Gnomon,mRNA,13436944,13438405,.,-,.,"ID=rna-XM_032924161.2;Parent=gene-LOC116918443;Dbxref=GeneID:116918443,Genbank:XM_032924161.2;Name=XM_032924161.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116918443;model_evidence=Supporting evidence includes similarity to: 38 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial-like;transcript_id=XM_032924161.2"
NC_059184.1,Gnomon,exon,13438022,13438161,.,-,.,"ID=exon-XM_032924161.2-2;Parent=rna-XM_032924161.2;Dbxref=GeneID:116918443,Genbank:XM_032924161.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116918443;product=succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial-like;transcript_id=XM_032924161.2"
NC_059184.1,Gnomon,CDS,13438022,13438161,.,-,0,"ID=cds-XP_032780052.2;Parent=rna-XM_032924161.2;Dbxref=GeneID:116918443,Genbank:XP_032780052.2;Name=XP_032780052.2;gbkey=CDS;gene=LOC116918443;product=succinate dehydrogenase [ubiquinone] iron-sulfur subunit%2C mitochondrial-like;protein_id=XP_032780052.2"
NC_059184.1,RefSeq,region,1,13906530,.,+,.,ID=NC_059184.1:1..13906530;Dbxref=taxon:35525;Name=LG3;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG3;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059184.1,Gnomon,gene,13567953,13570037,.,+,.,ID=gene-LOC116918247;Dbxref=GeneID:116918247;Name=LOC116918247;gbkey=Gene;gene=LOC116918247;gene_biotype=protein_coding
NC_059184.1,Gnomon,mRNA,13567953,13570037,.,+,.,"ID=rna-XM_045170464.1;Parent=gene-LOC116918247;Dbxref=GeneID:116918247,Genbank:XM_045170464.1;Name=XM_045170464.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116918247;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 61 ESTs%2C 38 Proteins%2C and 94%25 coverage of the annotated genomic feature by RNAseq alignments;product=ribosome biogenesis protein NSA2 homolog;transcript_id=XM_045170464.1"
NC_059184.1,Gnomon,exon,13568311,13569145,.,+,.,"ID=exon-XM_045170464.1-2;Parent=rna-XM_045170464.1;Dbxref=GeneID:116918247,Genbank:XM_045170464.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116918247;product=ribosome biogenesis protein NSA2 homolog;transcript_id=XM_045170464.1"
NC_059184.1,Gnomon,CDS,13568373,13569145,.,+,0,"ID=cds-XP_045026399.1;Parent=rna-XM_045170464.1;Dbxref=GeneID:116918247,Genbank:XP_045026399.1;Name=XP_045026399.1;Note=The sequence of the model RefSeq protein was modified relative to this genomic sequence to represent the inferred CDS: substituted 1 base at 1 genomic stop codon;gbkey=CDS;gene=LOC116918247;product=LOW QUALITY PROTEIN: ribosome biogenesis protein NSA2 homolog;protein_id=XP_045026399.1;transl_except=(pos:13569208..13569210%2Caa:Other)"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,1474622,1476890,.,-,.,ID=gene-LOC116921284;Dbxref=GeneID:116921284;Name=LOC116921284;gbkey=Gene;gene=LOC116921284;gene_biotype=protein_coding
NC_059185.1,Gnomon,mRNA,1474622,1476890,.,-,.,"ID=rna-XM_032927548.2;Parent=gene-LOC116921284;Dbxref=GeneID:116921284,Genbank:XM_032927548.2;Name=XM_032927548.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921284;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=uncharacterized LOC116921284%2C transcript variant X1;transcript_id=XM_032927548.2"
NC_059185.1,Gnomon,exon,1475420,1476085,.,-,.,"ID=exon-XM_032927548.2-3;Parent=rna-XM_032927548.2;Dbxref=GeneID:116921284,Genbank:XM_032927548.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921284;product=uncharacterized LOC116921284%2C transcript variant X1;transcript_id=XM_032927548.2"
NC_059185.1,Gnomon,CDS,1475420,1476085,.,-,0,"ID=cds-XP_032783439.2;Parent=rna-XM_032927548.2;Dbxref=GeneID:116921284,Genbank:XP_032783439.2;Name=XP_032783439.2;gbkey=CDS;gene=LOC116921284;product=uncharacterized protein LOC116921284;protein_id=XP_032783439.2"
NC_059185.1,Gnomon,mRNA,1474622,1476890,.,-,.,"ID=rna-XM_032927549.2;Parent=gene-LOC116921284;Dbxref=GeneID:116921284,Genbank:XM_032927549.2;Name=XM_032927549.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921284;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 74 samples with support for all annotated introns;product=uncharacterized LOC116921284%2C transcript variant X2;transcript_id=XM_032927549.2"
NC_059185.1,Gnomon,exon,1475420,1476085,.,-,.,"ID=exon-XM_032927549.2-3;Parent=rna-XM_032927549.2;Dbxref=GeneID:116921284,Genbank:XM_032927549.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921284;product=uncharacterized LOC116921284%2C transcript variant X2;transcript_id=XM_032927549.2"
NC_059185.1,Gnomon,CDS,1475420,1476085,.,-,0,"ID=cds-XP_032783440.2;Parent=rna-XM_032927549.2;Dbxref=GeneID:116921284,Genbank:XP_032783440.2;Name=XP_032783440.2;gbkey=CDS;gene=LOC116921284;product=uncharacterized protein LOC116921284;protein_id=XP_032783440.2"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,1710987,1713731,.,+,.,ID=gene-LOC116921230;Dbxref=GeneID:116921230;Name=LOC116921230;gbkey=Gene;gene=LOC116921230;gene_biotype=protein_coding
NC_059185.1,Gnomon,mRNA,1710987,1713731,.,+,.,"ID=rna-XM_032927495.2;Parent=gene-LOC116921230;Dbxref=GeneID:116921230,Genbank:XM_032927495.2;Name=XM_032927495.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921230;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 144 samples with support for all annotated introns;product=CDK5 and ABL1 enzyme substrate 2%2C transcript variant X1;transcript_id=XM_032927495.2"
NC_059185.1,Gnomon,exon,1710987,1711448,.,+,.,"ID=exon-XM_032927495.2-1;Parent=rna-XM_032927495.2;Dbxref=GeneID:116921230,Genbank:XM_032927495.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921230;product=CDK5 and ABL1 enzyme substrate 2%2C transcript variant X1;transcript_id=XM_032927495.2"
NC_059185.1,Gnomon,CDS,1711003,1711448,.,+,0,"ID=cds-XP_032783386.2;Parent=rna-XM_032927495.2;Dbxref=GeneID:116921230,Genbank:XP_032783386.2;Name=XP_032783386.2;gbkey=CDS;gene=LOC116921230;product=CDK5 and ABL1 enzyme substrate 2 isoform X1;protein_id=XP_032783386.2"
NC_059185.1,Gnomon,mRNA,1710987,1713731,.,+,.,"ID=rna-XM_045173145.1;Parent=gene-LOC116921230;Dbxref=GeneID:116921230,Genbank:XM_045173145.1;Name=XM_045173145.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921230;model_evidence=Supporting evidence includes similarity to: 3 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 143 samples with support for all annotated introns;product=CDK5 and ABL1 enzyme substrate 2%2C transcript variant X2;transcript_id=XM_045173145.1"
NC_059185.1,Gnomon,exon,1710987,1711448,.,+,.,"ID=exon-XM_045173145.1-1;Parent=rna-XM_045173145.1;Dbxref=GeneID:116921230,Genbank:XM_045173145.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116921230;product=CDK5 and ABL1 enzyme substrate 2%2C transcript variant X2;transcript_id=XM_045173145.1"
NC_059185.1,Gnomon,CDS,1711003,1711448,.,+,0,"ID=cds-XP_045029080.1;Parent=rna-XM_045173145.1;Dbxref=GeneID:116921230,Genbank:XP_045029080.1;Name=XP_045029080.1;gbkey=CDS;gene=LOC116921230;product=CDK5 and ABL1 enzyme substrate 2 isoform X2;protein_id=XP_045029080.1"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,3451285,3452341,.,+,.,ID=gene-LOC116921725;Dbxref=GeneID:116921725;Name=LOC116921725;gbkey=Gene;gene=LOC116921725;gene_biotype=protein_coding
NC_059185.1,Gnomon,mRNA,3451285,3452341,.,+,.,"ID=rna-XM_032928060.2;Parent=gene-LOC116921725;Dbxref=GeneID:116921725,Genbank:XM_032928060.2;Name=XM_032928060.2;gbkey=mRNA;gene=LOC116921725;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 83%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC116921725;transcript_id=XM_032928060.2"
NC_059185.1,Gnomon,exon,3451759,3452341,.,+,.,"ID=exon-XM_032928060.2-3;Parent=rna-XM_032928060.2;Dbxref=GeneID:116921725,Genbank:XM_032928060.2;gbkey=mRNA;gene=LOC116921725;product=uncharacterized LOC116921725;transcript_id=XM_032928060.2"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,3704576,3706268,.,-,.,ID=gene-LOC116920756;Dbxref=GeneID:116920756;Name=LOC116920756;gbkey=Gene;gene=LOC116920756;gene_biotype=protein_coding
NC_059185.1,Gnomon,mRNA,3704576,3706268,.,-,.,"ID=rna-XM_032926869.2;Parent=gene-LOC116920756;Dbxref=GeneID:116920756,Genbank:XM_032926869.2;Name=XM_032926869.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920756;model_evidence=Supporting evidence includes similarity to: 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 146 samples with support for all annotated introns;product=GATA zinc finger domain-containing protein 1;transcript_id=XM_032926869.2"
NC_059185.1,Gnomon,exon,3705751,3706268,.,-,.,"ID=exon-XM_032926869.2-1;Parent=rna-XM_032926869.2;Dbxref=GeneID:116920756,Genbank:XM_032926869.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920756;product=GATA zinc finger domain-containing protein 1;transcript_id=XM_032926869.2"
NC_059185.1,Gnomon,CDS,3705751,3706170,.,-,0,"ID=cds-XP_032782760.1;Parent=rna-XM_032926869.2;Dbxref=GeneID:116920756,Genbank:XP_032782760.1;Name=XP_032782760.1;gbkey=CDS;gene=LOC116920756;product=GATA zinc finger domain-containing protein 1;protein_id=XP_032782760.1"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,11383186,11396234,.,-,.,"ID=gene-LOC116920030;Dbxref=GeneID:116920030;Name=LOC116920030;end_range=11396234,.;gbkey=Gene;gene=LOC116920030;gene_biotype=protein_coding;partial=true"
NC_059185.1,Gnomon,mRNA,11383186,11396234,.,-,.,"ID=rna-XM_045172648.1;Parent=gene-LOC116920030;Dbxref=GeneID:116920030,Genbank:XM_045172648.1;Name=XM_045172648.1;end_range=11396234,.;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920030;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 141 samples with support for all annotated introns;partial=true;product=uncharacterized LOC116920030;transcript_id=XM_045172648.1"
NC_059185.1,RefSeq,region,1,13367246,.,+,.,ID=NC_059185.1:1..13367246;Dbxref=taxon:35525;Name=LG4;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG4;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059185.1,Gnomon,gene,13086631,13113785,.,-,.,ID=gene-LOC116920404;Dbxref=GeneID:116920404;Name=LOC116920404;gbkey=Gene;gene=LOC116920404;gene_biotype=lncRNA
NC_059185.1,Gnomon,lnc_RNA,13086631,13113785,.,-,.,"ID=rna-XR_006645964.1;Parent=gene-LOC116920404;Dbxref=GeneID:116920404,Genbank:XR_006645964.1;Name=XR_006645964.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC116920404;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC116920404%2C transcript variant X5;transcript_id=XR_006645964.1"
NC_059185.1,Gnomon,gene,13090949,13115754,.,+,.,ID=gene-LOC116920358;Dbxref=GeneID:116920358;Name=LOC116920358;gbkey=Gene;gene=LOC116920358;gene_biotype=protein_coding
NC_059185.1,Gnomon,mRNA,13090949,13115754,.,+,.,"ID=rna-XM_045172821.1;Parent=gene-LOC116920358;Dbxref=GeneID:116920358,Genbank:XM_045172821.1;Name=XM_045172821.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116920358;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 106 samples with support for all annotated introns;product=RGS domain-containing serine/threonine-protein kinase A%2C transcript variant X3;transcript_id=XM_045172821.1"
NC_059186.1,RefSeq,region,1,12546303,.,+,.,ID=NC_059186.1:1..12546303;Dbxref=taxon:35525;Name=LG5;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG5;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059186.1,Gnomon,gene,777915,781398,.,-,.,ID=gene-LOC116922505;Dbxref=GeneID:116922505;Name=LOC116922505;gbkey=Gene;gene=LOC116922505;gene_biotype=protein_coding
NC_059186.1,Gnomon,mRNA,777915,781398,.,-,.,"ID=rna-XM_032928868.2;Parent=gene-LOC116922505;Dbxref=GeneID:116922505,Genbank:XM_032928868.2;Name=XM_032928868.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922505;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=uncharacterized LOC116922505;transcript_id=XM_032928868.2"
NC_059186.1,Gnomon,exon,779728,779929,.,-,.,"ID=exon-XM_032928868.2-2;Parent=rna-XM_032928868.2;Dbxref=GeneID:116922505,Genbank:XM_032928868.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922505;product=uncharacterized LOC116922505;transcript_id=XM_032928868.2"
NC_059186.1,Gnomon,CDS,779728,779929,.,-,2,"ID=cds-XP_032784759.2;Parent=rna-XM_032928868.2;Dbxref=GeneID:116922505,Genbank:XP_032784759.2;Name=XP_032784759.2;gbkey=CDS;gene=LOC116922505;product=uncharacterized protein LOC116922505;protein_id=XP_032784759.2"
NC_059186.1,RefSeq,region,1,12546303,.,+,.,ID=NC_059186.1:1..12546303;Dbxref=taxon:35525;Name=LG5;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG5;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059186.1,Gnomon,gene,7204517,7206978,.,-,.,ID=gene-LOC116922268;Dbxref=GeneID:116922268;Name=LOC116922268;gbkey=Gene;gene=LOC116922268;gene_biotype=protein_coding
NC_059186.1,Gnomon,mRNA,7204517,7206978,.,-,.,"ID=rna-XM_032928649.2;Parent=gene-LOC116922268;Dbxref=GeneID:116922268,Genbank:XM_032928649.2;Name=XM_032928649.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922268;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 8 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 145 samples with support for all annotated introns;product=28S ribosomal protein S11%2C mitochondrial;transcript_id=XM_032928649.2"
NC_059186.1,RefSeq,region,1,12546303,.,+,.,ID=NC_059186.1:1..12546303;Dbxref=taxon:35525;Name=LG5;collection-date=1986;country=USA: Minnesota;gbkey=Src;genome=chromosome;identified-by=National Institute for Environmental Studies (NIES) in Japan;isolate=NIES;isolation-source=Duluth%2C Minnesota;linkage-group=LG5;mol_type=genomic DNA;sex=female;tissue-type=Whole Body
NC_059186.1,Gnomon,gene,7864160,7866567,.,+,.,ID=gene-LOC116922902;Dbxref=GeneID:116922902;Name=LOC116922902;gbkey=Gene;gene=LOC116922902;gene_biotype=protein_coding
NC_059186.1,Gnomon,mRNA,7864160,7866567,.,+,.,"ID=rna-XM_032929372.2;Parent=gene-LOC116922902;Dbxref=GeneID:116922902,Genbank:XM_032929372.2;Name=XM_032929372.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922902;model_evidence=Supporting evidence includes similarity to: 13 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 143 samples with support for all annotated introns;product=protein tumorous imaginal discs%2C mitochondrial%2C transcript variant X1;transcript_id=XM_032929372.2"
NC_059186.1,Gnomon,exon,7864956,7865256,.,+,.,"ID=exon-XM_032929372.2-4;Parent=rna-XM_032929372.2;Dbxref=GeneID:116922902,Genbank:XM_032929372.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922902;product=protein tumorous imaginal discs%2C mitochondrial%2C transcript variant X1;transcript_id=XM_032929372.2"
NC_059186.1,Gnomon,CDS,7864956,7865256,.,+,0,"ID=cds-XP_032785263.1;Parent=rna-XM_032929372.2;Dbxref=GeneID:116922902,Genbank:XP_032785263.1;Name=XP_032785263.1;gbkey=CDS;gene=LOC116922902;product=protein tumorous imaginal discs%2C mitochondrial isoform X1;protein_id=XP_032785263.1"
NC_059186.1,Gnomon,mRNA,7864160,7866567,.,+,.,"ID=rna-XM_032929374.2;Parent=gene-LOC116922902;Dbxref=GeneID:116922902,Genbank:XM_032929374.2;Name=XM_032929374.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922902;model_evidence=Supporting evidence includes similarity to: 14 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 143 samples with support for all annotated introns;product=protein tumorous imaginal discs%2C mitochondrial%2C transcript variant X2;transcript_id=XM_032929374.2"
NC_059186.1,Gnomon,exon,7864956,7865256,.,+,.,"ID=exon-XM_032929374.2-4;Parent=rna-XM_032929374.2;Dbxref=GeneID:116922902,Genbank:XM_032929374.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC116922902;product=protein tumorous imaginal discs%2C mitochondrial%2C transcript variant X2;transcript_id=XM_032929374.2"
NC_059186.1,Gnomon,CDS,7864956,7865256,.,+,0,"ID=cds-XP_032785265.1;Parent=rna-XM_032929374.2;Dbxref=GeneID:116922902,Genbank:XP_032785265.1;Name=XP_032785265.1;gbkey=CDS;gene=LOC116922902;product=protein tumorous imaginal discs%2C mitochondrial isoform X2;protein_id=XP_032785265.1"
